,it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,heading,bottomData,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,heading,commonIcon,Engine,Max Power,Mileage,Seats,Torque,Wheel Size,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Top Speed,Acceleration,Ground Clearance Unladen,City
0,0,Petrol,Hatchback,"20,000",Automatic,1,1st Owner,Volkswagen,Volkswagen Polo,2022,7746,1.0 TSI Highline Plus AT,₹ 10.44 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,999 cc,Petrol,Third Party insurance,"20,000 Kms",First Owner,TS04,2022,5 Seats,Automatic,2022.0,Specifications,,999 CC,108.62bhp,16.47 kmpl,5,175nm,R16,Others,1.0L TSI Petrol,999,108.62bhp@5000-5500rpm,175nm@1750-4000rpm,3.0,4.0,DOHC,TSI,74.5x76.4 mm,10.5:1,Yes,No,3971mm,1682mm,1469mm,2470mm,1457mm,1500mm,1106,1570,6 Speed,FWD,5,Electronic,4.9,Disc,Drum,"Tubeless,Radial",R16,5,280,,,,hyderabad
1,0,Petrol,Hatchback,"85,582",Manual,2,2nd Owner,Hyundai,Hyundai EON,2014,1502,Era Plus,₹ 2.60 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,814 cc,Petrol,Third Party insurance,"85,582 Kms",Second Owner,TS09,Oct 2014,5 Seats,Manual,2014.0,Specifications,,814 CC,55.2bhp,21.1 kmpl,5,74.5Nm,,Red,Petrol Engine,814,55.2bhp@5500rpm,74.5Nm@4000rpm,3.0,3.0,SOHC,MPFI,,,No,No,3495mm,1550mm,1500mm,2380mm,1386mm,1368mm,880,,5 Speed,FWD,5,Power,4.6 metres,Disc,Drum,Tubeless,,5,215-litres,135 Kmph,19 Seconds,,hyderabad
2,0,Petrol,SUV,"10,000",Manual,1,1st Owner,Hyundai,Hyundai Venue,2023,9153,S BSVI,₹ 9.55 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party insurance,"10,000 Kms",First Owner,,2023,5 Seats,Manual,2023.0,Specifications,,1197 CC,81.80bhp,,5,113.8Nm,,Others,1.2 Kappa Petrol,1197,81.80bhp@6000rpm,113.8Nm@4000rpm,4.0,4.0,,,,,No,,3995mm,1770mm,1617mm,2500mm,,,1106,,5-Speed,,5,Power,,Disc,Drum,"Tubeless, Radial",,5,,,,,hyderabad
3,0,Petrol,Hatchback,"50,750",Manual,1,1st Owner,Maruti,Maruti Baleno,2017,3970,1.2 Alpha,₹ 6.71 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party insurance,"50,750 Kms",First Owner,TS07,Mar 2017,5 Seats,Manual,2017.0,Specifications,,1197 CC,83.1bhp,21.4 kmpl,5,115Nm,16,Red,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,890Kg,1340kg,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,"Tubeless,Radial",16,5,339-litres,180 Kmph,12.36 seconds,,hyderabad
4,0,Petrol,SUV,"10,000",Automatic,1,1st Owner,Mahindra,Mahindra Thar,2022,8074,LX 4-Str Hard Top AT BSVI,₹ 19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1997 cc,Petrol,Third Party insurance,"10,000 Kms",First Owner,,2022,4 Seats,Automatic,2022.0,Specifications,,1997 CC,150bhp,,4,320Nm,18,Others,mStallion 150 TGDi Engine,1997,150bhp@5000rpm,320Nm@1500-3000rpm,4.0,4.0,,,,,Yes,,3985mm,1855mm,1844mm,2450mm,1520mm,1520mm,1825,,6 Speed,4X4,4,Power,,Disc,Drum,"Radial, Tubeless",18,3,,,,,hyderabad
5,0,Petrol,SUV,"10,000",Manual,1,1st Owner,Kia,Kia Sonet,2021,8008,HTX Plus Turbo iMT BSVI,₹ 11.78 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Third Party insurance,"10,000 Kms",First Owner,TS09,2021,5 Seats,Manual,2021.0,Specifications,,998 CC,118.36bhp,18.2 kmpl,5,172Nm,16,White,Smartstream G1.0 T - GDi,998,118.36bhp@6000rpm,172Nm@1500-4000rpm,3.0,4.0,,GDi,,,Yes,,3995mm,1790,1642,2500,,,1232,,6-Speed iMT,FWD,5,Electric,,Disc,Drum,"Tubeless, Radial",16,5,392,,,,hyderabad
6,0,Petrol,Hatchback,"66,366",Automatic,1,1st Owner,Maruti,Maruti Celerio,2017,6054,ZXI Optional AMT BSIV,₹ 4.89 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Zero Dep,"66,366 Kms",First Owner,TS07,May 2017,5 Seats,Automatic,2017.0,Specifications,,998 CC,67.04bhp,23.1 kmpl,5,90Nm,,White,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,73 X 82 mm,11.0:1,No,No,3695mm,1600mm,1560mm,2425mm,1420mm,1410mm,850kg,1250kg,5 Speed,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,"Tubeless, Radial",,5,235-litres,150 Kmph,15.05 Seconds,,hyderabad
7,0,Petrol,Sedan,"5,000",Automatic,1,1st Owner,Hyundai,Hyundai Verna,2022,7733,SX Opt Turbo,₹ 15.41 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Third Party insurance,"5,000 Kms",First Owner,,2022,5 Seats,Automatic,2022.0,Specifications,,998 CC,118.41bhp,19.2 kmpl,5,172Nm,16,Black,1.0 l Kappa turbo GDi petrol,998,118.41bhp@6000rpm,172Nm@1500-4000rpm,3.0,4.0,DOHC with TIS,GDi,,,Yes,,4440mm,1729mm,1475mm,2600mm,,,1260,,7 Speed DCT,,5,Electric,,Disc,Disc,"Tubeless, Radial",16,4,,,,,hyderabad
8,0,Petrol,Hatchback,"72,544",Manual,1,1st Owner,Maruti,Maruti Celerio,2017,3983,ZXI Optional,₹ 4.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Third Party,"72,544 Kms",First Owner,TS07,Jun 2017,5 Seats,Manual,2017.0,Specifications,,998 CC,67.04bhp,23.1 kmpl,5,90Nm,14,White,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,73 X 82 mm,11.0:1,No,No,3715mm,1635mm,1565mm,2425mm,1420mm,1410mm,850kg,1250kg,5 Speed ,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,"Tubeless, Radial",14,5,235-litres,150 Kmph,15.05 Seconds,,hyderabad
9,0,Petrol,Hatchback,"29,154",Manual,1,1st Owner,Ford,Ford Figo,2021,7594,Titanium,₹ 7.28 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1194 cc,Petrol,Third Party,"29,154 Kms",First Owner,TS09,Jun 2021,5 Seats,Manual,2021.0,Specifications,,1194 CC,94.93bhp,18.5 kmpl,5,119Nm,R15,Maroon,Ti-VCT Petrol Engine,1194,94.93bhp@6500rpm,119Nm@4250rpm,3.0,4.0,DOHC,Direct Injection,,,No,No,3941 mm,1704 mm,1525 mm,2490 mm,,,1016-1033kg,,5 Speed,FWD,5,Electric,4.9,Ventilated Disc,Drum,Tubeless,R15,5,,,,,hyderabad
